City,Locality,Property Type,Price,Furnishing Status,Number of Rooms,Number of Bathroom,Balcony,Clubhouse,Swimming Pool,"""Kids Play Areas""",Parking,Area (Sq.Ft.),Area Type,State
Bangalore,Sarjapur Attibele Road,Apartment,5300000.0,Unfurnished,2,2,Individual,0,0,0,0,1035.0,Area,Karnatka
Bangalore,Jalahalli,Apartment,12700000.0,Unfurnished,2,2,"Connected,Individual,Room-attached",1,1,1,0,986.0,Area,Karnatka
Bangalore,Gopasandra,Apartment,9000000.0,Unfurnished,2,2,Connected,1,1,1,0,1335.0,Area,Karnatka
Bangalore,Bilekahalli,Apartment,7700000.0,Unfurnished,2,2,Connected,0,0,0,0,1200.0,Area,Karnatka
Bangalore,Electronic City Phase I,Apartment,32000000.0,Unfurnished,5,4,Connected,0,0,0,0,2689.0,Area,Karnatka
Bangalore,Devanahalli,Apartment,10000000.0,Unfurnished,2,2,Individual,0,1,1,0,905.0,Area,Karnatka
Bangalore,Begur Road,Apartment,9000000.0,Unfurnished,2,2,Connected,1,1,1,0,1190.0,Area,Karnatka
Bangalore,Kanakapura Road,Apartment,26000000.0,Unfurnished,2,2,Connected,1,1,1,0,2100.0,Area,Karnatka
Bangalore,Rajarajeshwari Nagar,Apartment,25000000.0,Unfurnished,3,4,Connected,0,1,1,0,1940.0,Area,Karnatka
Bangalore,Whitefield,Apartment,48100000.0,Unfurnished,2,4,"Connected,Individual,Room-attached",1,1,1,0,3540.0,Area,Karnatka
Bangalore,Gottigere,Builder Floor,6700000.0,Unfurnished,2,2,Room-attached,0,0,1,0,1100.0,Area,Karnatka
Bangalore,Thanisandra Main Road,Apartment,25900000.0,Unfurnished,2,2,"Connected,Individual,Room-attached",1,1,1,0,1330.0,Area,Karnatka
Bangalore,Kalena Agrahara,Apartment,6650000.0,Unfurnished,2,2,Individual,0,0,0,0,1200.0,Area,Karnatka
Bangalore,Jp Nagar,Apartment,20000000.0,Unfurnished,6,5,Individual,0,0,0,0,1543.0,Area,Karnatka
Bangalore,Hennur Road,Independent House,15000000.0,Unfurnished,4,4,Connected,0,0,0,0,2200.0,Area,Karnatka
Bangalore,Bommasandra,Apartment,9405000.0,Unfurnished,2,2,"Connected,Individual,Room-attached",1,1,1,0,975.0,Area,Karnatka
Bangalore,Kogilu,Apartment,8000000.0,Unfurnished,2,2,Individual,1,1,1,0,1200.0,Area,Karnatka
Bangalore,Electronic City Phase I,Apartment,8500000.0,Unfurnished,2,2,Connected,0,0,0,0,1013.0,Area,Karnatka
Bangalore,Gottigere,Builder Floor,15600000.0,Unfurnished,3,2,Connected,0,0,0,0,2400.0,Area,Karnatka
Bangalore,Yelahanka,Apartment,4000000.0,Unfurnished,3,2,Connected,0,0,0,0,1075.0,Area,Karnatka
Bangalore,Begur,Apartment,9500000.0,Unfurnished,3,3,Individual,0,0,0,0,1630.0,Area,Karnatka
Bangalore,Lalbagh rd,Apartment,47000000.0,Unfurnished,4,4,Connected,0,0,0,0,3251.0,Area,Karnatka
Bangalore,Smv Layout,Plot,21595867.1294001,Unfurnished,0,0,No Balcony,0,0,0,0,2400.0,Area,Karnatka
Bangalore,Thanisandra Main Road,Apartment,7300000.0,Unfurnished,2,2,Individual,1,1,1,0,1120.0,Area,Karnatka
Bangalore,Kanakapura Road,Apartment,19000000.0,Unfurnished,4,4,"Individual,Room-attached",0,0,0,0,3440.0,Area,Karnatka
Bangalore,Ramamurthy Nagar,Builder Floor,28500000.0,Unfurnished,6,2,Individual,0,0,0,0,5000.0,Area,Karnatka
Bangalore,Bannerghatta Road,Apartment,17500000.0,Unfurnished,2,2,Connected,0,0,0,0,1335.0,Area,Karnatka
Bangalore,Jp Nagar,Apartment,26000000.0,Unfurnished,2,3,Individual,1,1,1,0,2168.0,Area,Karnatka
Bangalore,Whitefield,Apartment,6300000.0,Unfurnished,2,2,Connected,0,0,0,0,800.0,Area,Karnatka
Bangalore,Chandapura,Apartment,5000000.0,Unfurnished,2,2,Connected,0,0,0,0,940.0,Area,Karnatka
Bangalore,Tumkur Road,Apartment,4500000.0,Unfurnished,2,2,Connected,0,0,0,0,814.0,Area,Karnatka
Bangalore,Seegehalli,Builder Floor,8000000.0,Unfurnished,3,3,Connected,0,0,0,0,1305.0,Area,Karnatka
Bangalore,Ramamurthy Nagar,Builder Floor,19000000.0,Unfurnished,6,2,Individual,0,0,0,0,4500.0,Area,Karnatka
Bangalore,Whitefield,Apartment,69900000.0,Unfurnished,2,2,"Connected,Individual,Room-attached",0,0,0,0,4111.0,Area,Karnatka
Bangalore,Arekere,Apartment,7000000.0,Unfurnished,2,3,Room-attached,0,1,1,0,1350.0,Area,Karnatka
Bangalore,Kogilu,Apartment,3500000.0,Unfurnished,2,2,Individual,1,1,1,0,935.0,Area,Karnatka
Bangalore,Kanakapura Road,Apartment,22500000.0,Unfurnished,3,3,Connected,1,1,1,0,1700.0,Area,Karnatka
Bangalore,Thanisandra Main Road,Apartment,7800000.0,Unfurnished,2,2,Individual,1,1,1,0,1095.0,Area,Karnatka
